epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3835.54,1.06668,9.82318,0.83666,0.68229,0.53725,0.59224,0.42701,0.93575,8.45123,0.84271,0.00643101,0.00643101,0.00643101
43,3927.18,1.06214,9.80451,0.83999,0.67265,0.53989,0.60204,0.43705,0.93482,8.50292,0.8442,0.00628101,0.00628101,0.00628101
44,4018.49,1.05818,9.57829,0.84119,0.71496,0.51688,0.60529,0.43588,0.93864,8.25313,0.84233,0.00612981,0.00612981,0.00612981
45,4109.82,1.0653,9.60177,0.83546,0.68047,0.52991,0.60753,0.44161,0.9317,8.20008,0.83816,0.00597754,0.00597754,0.00597754
46,4201.33,1.065,9.46533,0.83418,0.68659,0.5581,0.62137,0.45533,0.92563,8.04169,0.83935,0.00582435,0.00582435,0.00582435
47,4292.3,1.05187,9.40096,0.83725,0.71717,0.53284,0.61803,0.44689,0.93604,8.10119,0.83872,0.0056704,0.0056704,0.0056704
48,4383.28,1.05434,9.33511,0.83497,0.64079,0.57118,0.62706,0.45233,0.93254,8.02863,0.83863,0.00551584,0.00551584,0.00551584
49,4474.83,1.04966,9.27556,0.83557,0.75143,0.5302,0.63854,0.4661,0.9234,7.91697,0.83885,0.00536081,0.00536081,0.00536081
50,4565.56,1.04639,9.19228,0.83772,0.62906,0.59984,0.63646,0.46143,0.92081,7.90106,0.8351,0.00520548,0.00520548,0.00520548
51,4656.88,1.06355,9.19694,0.83447,0.63772,0.58921,0.63424,0.46224,0.9134,7.84768,0.83575,0.00505,0.00505,0.00505
52,4747.37,1.03335,8.94012,0.83599,0.72987,0.57096,0.65746,0.48389,0.91306,7.7003,0.83533,0.00489452,0.00489452,0.00489452
53,4838.06,1.02422,8.71487,0.83468,0.75625,0.54774,0.65308,0.48024,0.90669,7.62552,0.83546,0.00473919,0.00473919,0.00473919
